,arm_name,metric_name,mean,sem,trial_index,parameters
0,0_0,objective,2.275,0.0,0,"{'XLE1': 1.3606272041797638, 'XLE2': 3.1351072788238525, 'CHORD1_1': 0.3324160218238831, 'CHORD1_2': 0.004643551893532276, 'CHORD2_1': 0.34263768792152405, 'CHORD2_2': 0.0663960874080658, 'SSPAN1_2': 0.1377832531929016, 'SSPAN2_2': 0.22309738397598267}"
1,0_1,objective,2.259,0.0,0,"{'XLE1': 1.5099274008534849, 'XLE2': 3.0064523819833995, 'CHORD1_1': 0.18461492750793695, 'CHORD1_2': 0.057331324182450766, 'CHORD2_1': 0.21596484547480943, 'CHORD2_2': 0.13840497843921185, 'SSPAN1_2': 0.20606226511299608, 'SSPAN2_2': 0.19778228662908076}"
2,0_2,objective,2.118,0.0,0,"{'XLE1': 1.6551908757537603, 'XLE2': 3.1722366955131296, 'CHORD1_1': 0.25769874397665266, 'CHORD1_2': 0.037489248141646385, 'CHORD2_1': 0.11154112070798874, 'CHORD2_2': 0.2221430940553546, 'SSPAN1_2': 0.19238957203924656, 'SSPAN2_2': 0.134672299772501}"
3,0_3,objective,2.475,0.0,0,"{'XLE1': 1.474153311457485, 'XLE2': 3.094418809749186, 'CHORD1_1': 0.11048148358240724, 'CHORD1_2': 0.06908876820467412, 'CHORD2_1': 0.29233785821124914, 'CHORD2_2': 0.04418236389756203, 'SSPAN1_2': 0.2514545166864991, 'SSPAN2_2': 0.2600362142547965}"
4,0_4,objective,1.633,0.0,0,"{'XLE1': 1.4152418565936387, 'XLE2': 3.197730042412877, 'CHORD1_1': 0.24251999799162152, 'CHORD1_2': 0.08199490109458565, 'CHORD2_1': 0.25015603303909306, 'CHORD2_2': 0.09843867598101497, 'SSPAN1_2': 0.1589977778494358, 'SSPAN2_2': 0.12142148427665234}"
5,0_5,objective,2.755,0.0,0,"{'XLE1': 1.705410006456077, 'XLE2': 3.0700852962210776, 'CHORD1_1': 0.3906138428486884, 'CHORD1_2': 0.025000660093501208, 'CHORD2_1': 0.1537413994781673, 'CHORD2_2': 0.1665430855937302, 'SSPAN1_2': 0.2969568124040961, 'SSPAN2_2': 0.2967365937307477}"
6,0_6,objective,2.436,0.0,0,"{'XLE1': 1.5689361658878624, 'XLE2': 3.110550987161696, 'CHORD1_1': 0.16720044547691942, 'CHORD1_2': 0.05015996807254851, 'CHORD2_1': 0.18315803818404675, 'CHORD2_2': 0.19168554386124015, 'SSPAN1_2': 0.11062777396291495, 'SSPAN2_2': 0.23328402396291495}"
7,0_7,objective,2.154,0.0,0,"{'XLE1': 1.3105053110048175, 'XLE2': 3.0321685086935757, 'CHORD1_1': 0.3147108802571893, 'CHORD1_2': 0.011441480051726103, 'CHORD2_1': 0.375462945457548, 'CHORD2_2': 0.009820608887821436, 'SSPAN1_2': 0.2453251950442791, 'SSPAN2_2': 0.15792011842131615}"
8,0_8,objective,1.496,0.0,0,"{'XLE1': 1.2601904850453138, 'XLE2': 3.15758756287396, 'CHORD1_1': 0.15191043782979252, 'CHORD1_2': 0.030530995884910223, 'CHORD2_1': 0.23984929006546737, 'CHORD2_2': 0.05213252641260624, 'SSPAN1_2': 0.16882565412670375, 'SSPAN2_2': 0.10776818450540304}"
9,0_9,objective,2.874,0.0,0,"{'XLE1': 1.6104029207490385, 'XLE2': 3.0852414133027195, 'CHORD1_1': 0.29004698852077127, 'CHORD1_2': 0.08751957675442099, 'CHORD2_1': 0.35627158517017965, 'CHORD2_2': 0.24525982607156038, 'SSPAN1_2': 0.28712884075939654, 'SSPAN2_2': 0.28225321099162104}"
10,1_0,objective,3.087,0.0,1,"{'XLE1': 1.3049056294756791, 'XLE2': 3.1589975909014023, 'CHORD1_1': 0.26335395998432015, 'CHORD1_2': 0.03981384119518002, 'CHORD2_1': 0.23932724768751992, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.29212022372398505, 'SSPAN2_2': 0.3}"
11,2_0,objective,2.87,0.0,2,"{'XLE1': 1.5082246732016147, 'XLE2': 3.2, 'CHORD1_1': 0.4, 'CHORD1_2': 0.08347862809833381, 'CHORD2_1': 0.37167432249066135, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.2868099310082628, 'SSPAN2_2': 0.3}"
12,3_0,objective,2.59,0.0,3,"{'XLE1': 1.25, 'XLE2': 3.175586009914305, 'CHORD1_1': 0.1, 'CHORD1_2': 0.0, 'CHORD2_1': 0.10830723979059555, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
13,4_0,objective,2.222,0.0,4,"{'XLE1': 1.5664365123957396, 'XLE2': 3.068347620777786, 'CHORD1_1': 0.16311200512573126, 'CHORD1_2': 0.0826780645083636, 'CHORD2_1': 0.33199994750320916, 'CHORD2_2': 0.03279293794184923, 'SSPAN1_2': 0.2866960521787405, 'SSPAN2_2': 0.16790971402078866}"
14,5_0,objective,2.893,0.0,5,"{'XLE1': 1.5650115420771349, 'XLE2': 3.147070312788785, 'CHORD1_1': 0.39499963546629646, 'CHORD1_2': 0.017493892238227806, 'CHORD2_1': 0.26925509093437017, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.20879778797378779, 'SSPAN2_2': 0.3}"
15,6_0,objective,3.129,0.0,6,"{'XLE1': 1.313159746244171, 'XLE2': 3.0131620664460073, 'CHORD1_1': 0.2897263827978134, 'CHORD1_2': 0.06396360639938851, 'CHORD2_1': 0.25027315271704553, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
16,7_0,objective,2.865,0.0,7,"{'XLE1': 1.4765906241512703, 'XLE2': 3.0, 'CHORD1_1': 0.22782114053312993, 'CHORD1_2': 0.08929845399660352, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.1, 'SSPAN2_2': 0.3}"
17,8_0,objective,2.625,0.0,8,"{'XLE1': 1.2809606952287484, 'XLE2': 3.135695143889657, 'CHORD1_1': 0.34055211016718345, 'CHORD1_2': 0.026760342687052595, 'CHORD2_1': 0.1, 'CHORD2_2': 0.22600526759251918, 'SSPAN1_2': 0.1979498209574131, 'SSPAN2_2': 0.2989317115096639}"
18,9_0,objective,2.908,0.0,9,"{'XLE1': 1.25, 'XLE2': 3.0, 'CHORD1_1': 0.1, 'CHORD1_2': 0.08446982988541578, 'CHORD2_1': 0.31041695189473817, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
19,10_0,objective,2.995,0.0,10,"{'XLE1': 1.4171460948004895, 'XLE2': 3.0364997206366175, 'CHORD1_1': 0.4, 'CHORD1_2': 0.09, 'CHORD2_1': 0.22711927443316599, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
