,arm_name,metric_name,mean,sem,trial_index,parameters
0,0_0,objective,2.338,0.0,0,"{'XLE1': 1.3606272041797638, 'XLE2': 3.1351072788238525, 'CHORD1_1': 0.3324160218238831, 'CHORD1_2': 0.004643551893532276, 'CHORD2_1': 0.34263768792152405, 'CHORD2_2': 0.0663960874080658, 'SSPAN1_2': 0.1377832531929016, 'SSPAN2_2': 0.22309738397598267}"
1,0_1,objective,2.35,0.0,0,"{'XLE1': 1.5099274008534849, 'XLE2': 3.0064523819833995, 'CHORD1_1': 0.18461492750793695, 'CHORD1_2': 0.057331324182450766, 'CHORD2_1': 0.21596484547480943, 'CHORD2_2': 0.13840497843921185, 'SSPAN1_2': 0.20606226511299608, 'SSPAN2_2': 0.19778228662908076}"
2,0_2,objective,2.165,0.0,0,"{'XLE1': 1.6551908757537603, 'XLE2': 3.1722366955131296, 'CHORD1_1': 0.25769874397665266, 'CHORD1_2': 0.037489248141646385, 'CHORD2_1': 0.11154112070798874, 'CHORD2_2': 0.2221430940553546, 'SSPAN1_2': 0.19238957203924656, 'SSPAN2_2': 0.134672299772501}"
3,0_3,objective,2.523,0.0,0,"{'XLE1': 1.474153311457485, 'XLE2': 3.094418809749186, 'CHORD1_1': 0.11048148358240724, 'CHORD1_2': 0.06908876820467412, 'CHORD2_1': 0.29233785821124914, 'CHORD2_2': 0.04418236389756203, 'SSPAN1_2': 0.2514545166864991, 'SSPAN2_2': 0.2600362142547965}"
4,0_4,objective,1.83,0.0,0,"{'XLE1': 1.4152418565936387, 'XLE2': 3.197730042412877, 'CHORD1_1': 0.24251999799162152, 'CHORD1_2': 0.08199490109458565, 'CHORD2_1': 0.25015603303909306, 'CHORD2_2': 0.09843867598101497, 'SSPAN1_2': 0.1589977778494358, 'SSPAN2_2': 0.12142148427665234}"
5,0_5,objective,2.812,0.0,0,"{'XLE1': 1.705410006456077, 'XLE2': 3.0700852962210776, 'CHORD1_1': 0.3906138428486884, 'CHORD1_2': 0.025000660093501208, 'CHORD2_1': 0.1537413994781673, 'CHORD2_2': 0.1665430855937302, 'SSPAN1_2': 0.2969568124040961, 'SSPAN2_2': 0.2967365937307477}"
6,0_6,objective,2.469,0.0,0,"{'XLE1': 1.5689361658878624, 'XLE2': 3.110550987161696, 'CHORD1_1': 0.16720044547691942, 'CHORD1_2': 0.05015996807254851, 'CHORD2_1': 0.18315803818404675, 'CHORD2_2': 0.19168554386124015, 'SSPAN1_2': 0.11062777396291495, 'SSPAN2_2': 0.23328402396291495}"
7,0_7,objective,2.277,0.0,0,"{'XLE1': 1.3105053110048175, 'XLE2': 3.0321685086935757, 'CHORD1_1': 0.3147108802571893, 'CHORD1_2': 0.011441480051726103, 'CHORD2_1': 0.375462945457548, 'CHORD2_2': 0.009820608887821436, 'SSPAN1_2': 0.2453251950442791, 'SSPAN2_2': 0.15792011842131615}"
8,0_8,objective,1.626,0.0,0,"{'XLE1': 1.2601904850453138, 'XLE2': 3.15758756287396, 'CHORD1_1': 0.15191043782979252, 'CHORD1_2': 0.030530995884910223, 'CHORD2_1': 0.23984929006546737, 'CHORD2_2': 0.05213252641260624, 'SSPAN1_2': 0.16882565412670375, 'SSPAN2_2': 0.10776818450540304}"
9,0_9,objective,2.922,0.0,0,"{'XLE1': 1.6104029207490385, 'XLE2': 3.0852414133027195, 'CHORD1_1': 0.29004698852077127, 'CHORD1_2': 0.08751957675442099, 'CHORD2_1': 0.35627158517017965, 'CHORD2_2': 0.24525982607156038, 'SSPAN1_2': 0.28712884075939654, 'SSPAN2_2': 0.28225321099162104}"
10,1_0,objective,2.933,0.0,1,"{'XLE1': 1.2550135564133849, 'XLE2': 3.1892993690228115, 'CHORD1_1': 0.19912604437487033, 'CHORD1_2': 0.006406995875978194, 'CHORD2_1': 0.18063591068325563, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.28490188113211456, 'SSPAN2_2': 0.29170818166703555}"
11,2_0,objective,2.66,0.0,2,"{'XLE1': 1.7022450995584955, 'XLE2': 3.089780956828018, 'CHORD1_1': 0.20097251718668624, 'CHORD1_2': 0.014719154051336088, 'CHORD2_1': 0.10283016521464546, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.2330541021739209, 'SSPAN2_2': 0.2878044569993343}"
12,3_0,objective,2.74,0.0,3,"{'XLE1': 1.25, 'XLE2': 3.1832925950369066, 'CHORD1_1': 0.1869023574087776, 'CHORD1_2': 0.07240528549388633, 'CHORD2_1': 0.3813156173863117, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.23879916862987371}"
13,4_0,objective,2.974,0.0,4,"{'XLE1': 1.2735527901341486, 'XLE2': 3.1280695917725296, 'CHORD1_1': 0.3062308979611046, 'CHORD1_2': 0.015624880228427259, 'CHORD2_1': 0.3115638006414302, 'CHORD2_2': 0.1966385672443646, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
14,5_0,objective,2.864,0.0,5,"{'XLE1': 1.25, 'XLE2': 3.152572179224474, 'CHORD1_1': 0.263663609999988, 'CHORD1_2': 0.08415759460039393, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.1, 'SSPAN2_2': 0.3}"
15,6_0,objective,2.91,0.0,6,"{'XLE1': 1.25, 'XLE2': 3.1814530467787407, 'CHORD1_1': 0.4, 'CHORD1_2': 0.08333940364000206, 'CHORD2_1': 0.4, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.28084063579125873}"
16,7_0,objective,2.821,0.0,7,"{'XLE1': 1.7316860745623426, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.016877093576286764, 'CHORD2_1': 0.4, 'CHORD2_2': 0.12989288335070884, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.3}"
