,arm_name ,metric_name ,mean ,sem ,trial_index ,arm_name   ,metric_name   ,mean   ,sem   ,trial_index   ,arm_name,metric_name,mean,sem,trial_index,parameters
0,0_0,objective,2.05,0.0,0,0_0,CD,0.343,0.0,0,0_0,XCP,0.5821463414634146,0.0,0,"{'XLE1': 1.579670488834381, 'XLE2': 3.1876392722129823, 'CHORD1_1': 0.2311523497104645, 'CHORD1_2': 0.057054791450500485, 'CHORD2_1': 0.2749271631240845, 'CHORD2_2': 0.0609840527176857, 'SSPAN1_2': 0.1393328458070755, 'SSPAN2_2': 0.19613901972770692, 'fidelity': 0}"
1,0_1,objective,2.556,0.0,0,0_1,CD,0.426,0.0,0,0_1,XCP,0.53,0.0,0,"{'XLE1': 1.4520167945884168, 'XLE2': 3.0885427726432684, 'CHORD1_1': 0.27232357356697323, 'CHORD1_2': 0.02185664710588753, 'CHORD2_1': 0.1476803220808506, 'CHORD2_2': 0.17040443536825478, 'SSPAN1_2': 0.22631889823824167, 'SSPAN2_2': 0.23134668301790953, 'fidelity': 1}"
2,0_2,objective,2.773,0.0,0,0_2,CD,0.461,0.0,0,0_2,XCP,0.6611219512195122,0.0,0,"{'XLE1': 1.3602870521135628, 'XLE2': 3.146727574616671, 'CHORD1_1': 0.16477577155455947, 'CHORD1_2': 0.07446588129736482, 'CHORD2_1': 0.24703950649127368, 'CHORD2_2': 0.22763731703162193, 'SSPAN1_2': 0.16306472886353732, 'SSPAN2_2': 0.2950931966304779, 'fidelity': 1}"
3,0_3,objective,2.025,0.0,0,0_3,CD,0.357,0.0,0,0_3,XCP,0.42019512195121955,0.0,0,"{'XLE1': 1.7340366798453033, 'XLE2': 3.045872879959643, 'CHORD1_1': 0.3386251957155765, 'CHORD1_2': 0.02801775380037725, 'CHORD2_1': 0.3256763815879822, 'CHORD2_2': 0.11824743845500052, 'SSPAN1_2': 0.25259313005954026, 'SSPAN2_2': 0.13332930486649275, 'fidelity': 0}"
4,0_4,objective,2.575,0.0,0,0_4,CD,0.435,0.0,0,0_4,XCP,0.6172195121951219,0.0,0,"{'XLE1': 1.630770888645202, 'XLE2': 3.118643840029836, 'CHORD1_1': 0.2969541986472905, 'CHORD1_2': 0.03599716016091406, 'CHORD2_1': 0.3654455385170877, 'CHORD2_2': 0.026664748322218657, 'SSPAN1_2': 0.18357315082103015, 'SSPAN2_2': 0.2639643644914031, 'fidelity': 1}"
5,1_0,objective,2.65,0.0,1,1_0,CD,0.422,0.0,1,1_0,XCP,0.6424878048780488,0.0,1,"{'XLE1': 1.3304591988548122, 'XLE2': 3.0583222891182134, 'CHORD1_1': 0.2442623653881534, 'CHORD1_2': 0.05479711969881353, 'CHORD2_1': 0.26234567546535553, 'CHORD2_2': 0.23186325953025125, 'SSPAN1_2': 0.1639241002499796, 'SSPAN2_2': 0.2536161283089549, 'fidelity': 0}"
6,2_0,objective,2.526,0.0,2,2_0,CD,0.376,0.0,2,2_0,XCP,0.5524878048780488,0.0,2,"{'XLE1': 1.2555068552695907, 'XLE2': 3.0267621595954397, 'CHORD1_1': 0.33814462625832314, 'CHORD1_2': 0.058642729068710236, 'CHORD2_1': 0.3654615434718603, 'CHORD2_2': 0.0, 'SSPAN1_2': 0.19386876140497036, 'SSPAN2_2': 0.22638911587603644, 'fidelity': 0}"
7,3_0,objective,2.419,0.0,3,3_0,CD,0.394,0.0,3,3_0,XCP,0.5069268292682927,0.0,3,"{'XLE1': 1.3759370507149251, 'XLE2': 3.1771979137219253, 'CHORD1_1': 0.20621038542043013, 'CHORD1_2': 0.06983357059758466, 'CHORD2_1': 0.12775972500594351, 'CHORD2_2': 0.10969460083042125, 'SSPAN1_2': 0.20536769033524868, 'SSPAN2_2': 0.2480320131182106, 'fidelity': 1}"
8,4_0,objective,3.011,0.0,4,4_0,CD,0.555,0.0,4,4_0,XCP,0.6243414634146341,0.0,4,"{'XLE1': 1.5981664656642323, 'XLE2': 3.2, 'CHORD1_1': 0.37464425256826395, 'CHORD1_2': 0.08999344354607593, 'CHORD2_1': 0.2292119901527956, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.2968064194983531, 'SSPAN2_2': 0.3, 'fidelity': 0}"
9,5_0,objective,2.313,0.0,5,5_0,CD,0.369,0.0,5,5_0,XCP,0.5660000000000001,0.0,5,"{'XLE1': 1.427028493475832, 'XLE2': 3.064249247076025, 'CHORD1_1': 0.13392176999071423, 'CHORD1_2': 0.0879866568666453, 'CHORD2_1': 0.11970865659109192, 'CHORD2_2': 0.20913552961616608, 'SSPAN1_2': 0.13637407302048937, 'SSPAN2_2': 0.2292668392800185, 'fidelity': 1}"
10,6_0,objective,1.921,0.0,6,6_0,CD,0.319,0.0,6,6_0,XCP,0.588439024390244,0.0,6,"{'XLE1': 1.3527207221286128, 'XLE2': 3.1414172233785194, 'CHORD1_1': 0.1, 'CHORD1_2': 0.03310876845652203, 'CHORD2_1': 0.3630570939347819, 'CHORD2_2': 0.12191919926444715, 'SSPAN1_2': 0.10124244941139837, 'SSPAN2_2': 0.16702300101703157, 'fidelity': 0}"
11,7_0,objective,2.742,0.0,7,7_0,CD,0.454,0.0,7,7_0,XCP,0.5268780487804878,0.0,7,"{'XLE1': 1.25, 'XLE2': 3.2, 'CHORD1_1': 0.3370220394351847, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.3, 'SSPAN2_2': 0.21756656011397782, 'fidelity': 0}"
